id,title,averageRating,author,language
1314,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,3.97,Charles Darwin,eng
1315,Blankets,4.06,Craig Thompson,eng
1316,The Story of Edgar Sawtelle,3.6,David Wroblewski,eng
1317,Drowning Ruth,3.73,Christina Schwarz,eng
1318,Post Office,4.01,Charles Bukowski,en-US
1319,All the Pretty Horses,3.97,Cormac McCarthy,eng
1320,"Sherlock Holmes: The Complete Novels and Stories, Vol 2",4.46,"Arthur Conan Doyle, Kyle Freeman",
1321,"One Piece, Volume 01",4.42,"Eiichirō Oda, Andy Nakatani",eng
1322,The Last Unicorn,4.18,Peter S. Beagle,eng
1323,Magyk,3.8,Angie Sage,eng
1324,Fever 1793,3.89,Laurie Halse Anderson,en-US
1325,The Likeness,4.05,Tana French,eng
1326,Dead Wake: The Last Crossing of the Lusitania,4.07,Erik Larson,eng
1327,The Jungle Book,3.94,Rudyard Kipling,eng
1328,I Am Pilgrim,4.23,Terry Hayes,eng
1329,Howl and Other Poems ,4.14,"Allen Ginsberg, William Carlos Williams",eng
1330,Don't Sweat the Small Stuff,3.95,Richard Carlson,eng
1331,Go the Fuck to Sleep,4.26,"Adam Mansbach, Ricardo Cortés",eng
1332,Mostly Harmless,3.96,Douglas Adams,en-US
1333,Benjamin Franklin: An American Life,3.96,Walter Isaacson,eng
1334,The Tiger's Wife,3.37,Téa Obreht,eng
1335,Poison Study,4.16,Maria V. Snyder,eng
1336,Lover Unbound,4.33,J.R. Ward,eng
1337,Going Postal,4.36,Terry Pratchett,eng
1338,The Book of Mormon,4.37,"Anonymous, Joseph Smith Jr.",eng
1339,The Mist,3.92,Stephen King,en-US
1340,Dead Beat,4.43,Jim Butcher,eng
1341,Golden Son,4.46,Pierce Brown,eng
1342,Night Watch,4.47,Terry Pratchett,eng
1343,The Light Fantastic,3.94,Terry Pratchett,en-US
1344,What the Dog Saw and Other Adventures,3.82,Malcolm Gladwell,eng
1345,Pretty Girls,3.95,Karin Slaughter,eng
1346,Last Argument of Kings,4.26,Joe Abercrombie,eng
1347,Revival,3.75,Stephen King,en-US
1348,Horton Hears a Who!,4.16,Dr. Seuss,eng
1349,The Blind Side: Evolution of a Game,4.16,Michael   Lewis,eng
1350,Lirael,4.29,Garth Nix,en-US
1351,School's Out Forever,4.16,James Patterson,en-US
1352,黒執事 I [Kuroshitsuji I],4.37,"Yana Toboso, Tomo Kimura",eng
1353,Winter,4.49,Marissa Meyer,eng
1354,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,3.94,"Robert Louis Stevenson, Robert Mighall",eng
1355,,4.4,Emily Seife,en-US
1356,The Painted Man,4.27,Peter V. Brett,eng
1357,,3.98,John Bunyan,
1358,One Shot,4.2,Lee Child,eng
1359,The Serpent's Shadow,4.28,Rick Riordan,eng
1360,Duma Key,3.93,Stephen King,en-US
1361,The Shifting Fog,3.93,Kate Morton,eng
1362,,3.92,Robert Jordan,en-US
1363,Proven Guilty,4.41,Jim Butcher,eng
1364,Записки из подполья,4.17,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",eng
1365,The Heart is a Lonely Hunter,3.97,Carson McCullers,eng
1366,The Infinite Sea,3.94,Rick Yancey,eng
1367,The Once and Future King,4.08,T.H. White,eng
1368,Small Gods,4.27,Terry Pratchett,en-GB
1369,"Bud, Not Buddy",3.89,Christopher Paul Curtis,eng
1370,,4.12,Alison Bechdel,eng
1371,Predictably Irrational: The Hidden Forces that Shape Our Decisions,4.1,Dan Ariely,en-US
1372,الفيل الأزرق,3.8,أحمد مراد,ara
1373,The Indian in the Cupboard,3.89,Lynne Reid Banks,eng
1374,A Memory of Light,4.5,"Robert Jordan, Brandon Sanderson",eng
1375,Me and Earl and the Dying Girl,3.58,Jesse Andrews,en-US
1376,The Ugly Truth,4.16,Jeff Kinney,en-US
1377,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",4.34,Janet Evanovich,
1378,"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",3.84,Simon Winchester,eng
1379,2nd Chance,4.01,"James Patterson, Andrew Gross",eng
1380,The Complete Maus,4.53,Art Spiegelman,en-GB
1381,The Eyre Affair,3.92,Jasper Fforde,en-US
1382,Anne Rice's The Vampire Lestat: The Graphic Novel,4.17,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",en-GB
1383,,4.14,"Louis Sachar, Adam McCauley",eng
1384,The Art of Happiness: A Handbook for Living,4.14,"Dalai Lama XIV, Howard C. Cutler",eng
1385,The Bone Clocks,3.81,David Mitchell,eng
1386,Black and Blue,3.86,Anna Quindlen,eng
1387,,4.1,"L.J. Smith, Kevin Williamson, Julie Plec",en-US
1388,The Last Juror,3.85,John Grisham,eng
1389,Diary,3.6,Chuck Palahniuk,eng
1390,Eleven on Top,4.15,Janet Evanovich,en-US
1391,Tintenblut,3.91,"Cornelia Funke, Anthea Bell",eng
1392,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",3.75,Chuck Klosterman,en-US
1393,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,3.99,Evelyn Waugh,eng
1394,White Night,4.41,Jim Butcher,en-US
1395,The Miniaturist,3.58,Jessie Burton,eng
1396,Dragons of Autumn Twilight,4.03,"Margaret Weis, Tracy Hickman",en-US
1397,The Lost Colony,4.01,Eoin Colfer,en-US
1398,Extras,3.59,Scott Westerfeld,en-US
1399,The Burning Bridge,4.28,John Flanagan,en-US
1400,The Book of Life,4.15,Deborah Harkness,eng
1401,The Artist's Way: A Spiritual Path to Higher Creativity,3.89,Julia Cameron,eng
1402,The Stinky Cheese Man and Other Fairly Stupid Tales,4.2,"Jon Scieszka, Lane Smith",eng
1403,Horns,3.92,Joe Hill,en-US
1404,Catherine the Great: Portrait of a Woman,3.91,Robert K. Massie,en-CA
1405,The Year of the Flood,4.05,Margaret Atwood,eng
1406,Winter Garden,4.13,Kristin Hannah,en-GB
1407,The King of Torts,3.67,John Grisham,eng
1408,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,4.34,"Marcus Luttrell, Patrick Robinson",eng
1409,The 3 Mistakes of My Life,2.97,Chetan Bhagat,eng
1410,The Murder of Roger Ackroyd,4.2,Agatha Christie,eng
1411,Native Son ,3.96,Richard Wright,eng
1412,Shadow's Edge,4.27,Brent Weeks,en-US
1413,Under the Never Sky,4.01,Veronica Rossi,en-GB
1414,True Believer,3.8,Nicholas Sparks,en-US
1415,The Lean Startup‎,4.04,Eric Ries,en-US
1416,The Golden Lily,4.36,Richelle Mead,en-US
1417,Chasing Harry Winston,3.32,Lauren Weisberger,eng
1418,Magician's Gambit,4.13,David Eddings,
1419,,4.43,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",eng
1420,The Rise and Fall of the Third Reich: A History of Nazi Germany,4.15,William L. Shirer,eng
1421,A Long Way Down,3.41,Nick Hornby,eng
1422,Out from Boneville,4.16,"Jeff Smith, Steve Hamaker",eng
1423,Rose Madder,3.66,Stephen King,eng
1424,"Die Trying (Jack Reacher, #2)",4,Lee Child,en-US
1425,Beautiful Chaos,3.95,"Kami Garcia, Margaret Stohl, Paz Pruneda",en-US
1426,Keeping Faith,3.79,Jodi Picoult,
1427,Heart-Shaped Box,3.82,Joe Hill,en-US
1428,Cabin Fever,4.21,Jeff Kinney,eng
1429,,4.29,Brent Weeks,eng
1430,Everyone Worth Knowing,3.39,Lauren Weisberger,en-US
1431,Redwall,4.11,Brian Jacques,eng
1432,Manifest der Kommunistischen Partei,3.51,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",eng
1433,The Woman in Cabin 10,3.67,Ruth Ware,eng
1434,The Last of the Mohicans: A Narrative of 1757,3.69,James Fenimore Cooper,eng
1435,Sophie's Choice,4.18,William Styron,eng
1436,Shopaholic and Sister,3.64,Sophie Kinsella,eng
1437,The Iron Daughter,4.13,Julie Kagawa,eng
1438,The Prayer of Jabez:  Breaking Through to the Blessed Life,3.92,Bruce H. Wilkinson,eng
1439,The Age of Miracles,3.64,Karen Thompson Walker,eng
1440,Have a Little Faith: A True Story,4.16,Mitch Albom,en-US
1441,My Life in France,4.16,"Julia Child, Alex Prud'Homme",eng
1442,The Rosie Effect,3.56,Graeme Simsion,eng
1443,The Secret of the Nagas.,3.98,Amish Tripathi,eng
1444,Ham on Rye,4.16,Charles Bukowski,
1445,Flipped,3.94,Wendelin Van Draanen,en-US
1446,Emotional Intelligence 2.0,3.81,"Travis Bradberry, Jean Greaves, Patrick Lencioni",
1447,Make Way for Ducklings,4.21,Robert McCloskey,
1448,Relic,4.01,"Douglas Preston, Lincoln Child",eng
1449,Notes from a Small Island,3.91,Bill Bryson,eng
1450,Small Favor,4.43,Jim Butcher,en-US
1451,The Walking Dead Compendium Volume 1,4.43,Robert Kirkman,eng
1452,Princess Academy,4.01,Shannon Hale,eng
1453,"Everything, Everything",4.11,"Nicola Yoon, David Yoon",eng
1454,Pygmalion,3.9,George Bernard Shaw,en-US
1455,Flight Behavior,3.75,Barbara Kingsolver,eng
1456,Grip of the Shadow Plague,4.26,Brandon Mull,eng
1457,Bridget Jones: The Edge of Reason,3.53,Helen Fielding,eng
1458,Captain Corelli's Mandolin,3.95,Louis de Bernières,eng
1459,At First Sight,3.81,Nicholas Sparks,en-US
1460,Down Under,4.05,Bill Bryson,eng
1461,The Memoirs of Sherlock Holmes,4.32,Arthur Conan Doyle,eng
1462,The Orphan Master's Son,4.06,Adam Johnson,eng
1463,Enchanters' End Game,4.17,David Eddings,en-US
1464,Persepolis,4.36,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",en-US
1465,The Chosen,4.03,Chaim Potok,eng
1466,The Agony and the Ecstasy: A Biographical Novel of Michelangelo,4.09,"Irving Stone, שמואל שניצר",eng
1467,El juego del ángel,3.86,"Carlos Ruiz Zafón, Lucia Graves",eng
1468,Where Rainbows End,3.95,Cecelia Ahern,en-US
1469,Amelia Bedelia,4.15,"Peggy Parish, Fritz Siebel",eng
1470,This Man,4.13,Jodi Ellen Malpas,eng
1471,A Dog's Purpose ,4.35,W. Bruce Cameron,en-US
1472,An Ember in the Ashes,4.32,Sabaa Tahir,eng
1473,"Lover Enshrined, part one",4.12,J.R. Ward,eng
1474,The Golem and the Jinni,4.1,Helene Wecker,eng
1475,الأسود يليق بك,3.72,"أحلام مستغانمي, Ahlam Mosteghanemi",ara
1476,The Slippery Slope,4,"Lemony Snicket, Brett Helquist",en-US
1477,Bleak House,4,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",eng
1478,"Caps for sale: a tale of a peddler, some monkeys and their monkey business",4.12,Esphyr Slobodkina,eng
1479,Furies of Calderon ,4.12,Jim Butcher,eng
1480,Alanna: The First Adventure,4.27,Tamora Pierce,en-US
1481,Her Fearful Symmetry,3.23,Audrey Niffenegger,en-GB
1482,The Boston Girl,3.79,Anita Diamant,eng
1483,"Lover Enshrined, part two",4.38,J.R. Ward,eng
1484,The Fall of Hyperion,4.18,Dan Simmons,eng
1485,The Black Dahlia,3.75,James Ellroy,en-US
1486,"Through the Looking-Glass, and What Alice Found There",4.06,"Lewis Carroll, John Tenniel, Peter Glassman",eng
1487,Wild Swans: Three Daughters of China,4.23,Jung Chang,en-US
1488,"Go, Dog. Go!",4.08,P.D. Eastman,eng
1489,,4.19,"Laura Ingalls Wilder, Garth Williams",
1490,Finders Keepers,4.03,Stephen King,eng
1491,The Strain,3.77,"Guillermo del Toro, Chuck Hogan",en-US
1492,The Complete Poems of Emily Dickinson,4.21,"Emily Dickinson, Thomas H. Johnson",eng
1493,Old Yeller,4.06,Fred Gipson,en-US
1494,Born Standing Up: A Comic's Life,3.87,Steve Martin,eng
1495,PostSecret: Extraordinary Confessions from Ordinary Lives,4.01,Frank Warren,
1496,A Storm of Swords: Part 2 Blood and Gold,4.56,George R.R. Martin,eng
1497,The Borrowers Afield,4.02,"Mary Norton, Beth Krush, Joe Krush",
1498,Hearts in Atlantis,3.8,Stephen King,eng
1499,,4.35,Jodi Picoult,eng
1500,羊をめぐる冒険 [Hitsujiwomegurubōken],3.94,"Haruki Murakami, Alfred Birnbaum",eng
1501,The Queen's Fool,3.83,Philippa Gregory,en-US
1502,Days of Blood & Starlight,4.21,Laini Taylor,en-CA
1503,Jitterbug Perfume,4.24,Tom Robbins,eng
1504,"The Battle for Skandia (Ranger's Apprentice, #4)",4.32,John Flanagan,en-US
1505,The Darkest Minds,4.26,Alexandra Bracken,eng
1506,O Zahir,3.56,"Paulo Coelho, Margaret Jull Costa",eng
1507,The Power of Positive Thinking,4.08,Norman Vincent Peale,eng
1508,"In a Dark, Dark Wood ",3.65,Ruth Ware,eng
1509,The House of Mirth,3.94,"Edith Wharton, Nina Bawden",eng
1510,Fairy Tail 1,4.4,"Hiro Mashima, William Flanagan",eng
1511,The Slow Regard of Silent Things,3.92,"Patrick Rothfuss, Nate  Taylor",eng
1512,Twelve Years a Slave,4.15,Solomon Northup,eng
1513,"Lover Avenged, part one",4.41,J.R. Ward,eng
1514,In the Heart of the Sea: The Tragedy of the Whaleship Essex,4.16,Nathaniel Philbrick,en-US
1515,Infidel,4.2,Ayaan Hirsi Ali,eng
1516,The Black Swan: The Impact of the Highly Improbable,3.88,Nassim Nicholas Taleb,eng
1517,The Twelve,3.98,Justin Cronin,eng
1518,Один день Ивана Денисовича,3.94,"Aleksandr Solzhenitsyn, H.T. Willetts",eng
1519,The Diamond Age,4.19,Neal Stephenson,eng
1520,A Canticle for Leibowitz,3.97,Walter M. Miller Jr.,eng
1521,Ἀντιγόνη,3.6,"Sophocles, J.E. Thomas",eng
1522,Brooklyn,3.63,Colm Tóibín,eng
1523,Wither,3.81,Lauren DeStefano,eng
1524,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,3.99,J.D. Vance,eng
1525,Crossroads of Twilight,3.82,Robert Jordan,en-US
1526,The Red Badge of Courage,3.21,Stephen Crane,eng
1527,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,4.17,Randall Munroe,eng
1528,Gardens of the Moon,3.85,Steven Erikson,eng
1529,A Bruxa de Portobello,3.51,Paulo Coelho,eng
1530,A Swiftly Tilting Planet,4.13,Madeleine L'Engle,eng
1531,Gregor the Overlander,3.99,Suzanne Collins,eng
1532,Sing You Home,3.76,Jodi Picoult,en-US
1533,The Tale of the Body Thief,3.7,Anne Rice,en-US
1534,The Camel Club,4.02,David Baldacci,eng
1535,Saving The World and Other Extreme Sports,4.16,James Patterson,en-US
1536,Blood of the Fold,3.98,Terry Goodkind,en-US
1537,The Boleyn Inheritance,3.84,Philippa Gregory,eng
1538,A Spool of Blue Thread,3.4,Anne Tyler,eng
1539,The Underground Railroad,4.04,Colson Whitehead,eng
1540,Masquerade,3.91,Melissa de la Cruz,en-US
1541,The Iron Queen,4.24,Julie Kagawa,eng
1542,Losing It,3.77,Cora Carmack,eng
1543,The Racketeer,3.79,John Grisham,
1544,Disgrace,3.83,J.M. Coetzee,eng
1545,The House at Pooh Corner,4.36,"A.A. Milne, Ernest H. Shepard",en-US
1546,The Black Prism,4.24,Brent Weeks,en-US
1547,The Mermaid Chair,3.1,Sue Monk Kidd,eng
1548,Frog and Toad Are Friends,4.18,Arnold Lobel,eng
1549,The Carnivorous Carnival,3.97,"Lemony Snicket, Brett Helquist",en-US
1550,Heist Society,3.91,Ally Carter,en-US
1551,Behind Closed Doors,3.93,B.A. Paris,eng
1552,The Killer Angels,4.3,Michael Shaara,en-US
1553,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",4.16,Laurell K. Hamilton,en-US
1554,Ptolemy's Gate,4.24,Jonathan Stroud,eng
1555,The Island of Dr. Moreau,3.72,H.G. Wells,eng
1556,Opal,4.34,Jennifer L. Armentrout,
1557,Zeitoun,4.08,Dave Eggers,
1558,Out of My Mind,4.37,Sharon M. Draper,en-US
1559,Rapture,4.03,Lauren Kate,eng
1560,Switched,3.89,Amanda Hocking,eng
1561,Доктор Живаго,4.03,"Boris Pasternak, Max Hayward, Manya Harari, John Bayley",eng
1562,,4.25,Colleen Hoover,en-GB
1563,Pines,3.88,Blake Crouch,
1564,Disclosure,3.76,Michael Crichton,
1565,Death Comes to Pemberley,3.21,P.D. James,eng
1566,Ethan Frome,3.35,Edith Wharton,eng
1567,A Map of the World,3.78,"Jane Hamilton, Frank  Muller, C.J. Critt",en-GB
1568,It Ends with Us,4.44,Colleen Hoover,eng
1569,The Gift of the Magi,4.07,"O. Henry, Lisbeth Zwerger",eng
1570,The Electric Kool-Aid Acid Test,3.92,Tom Wolfe,en-US
1571,The Naked Lunch,3.46,"William S. Burroughs, James Grauerholz, Barry  Miles",en-US
1572,The Sandman: Dream Country,4.28,"Neil Gaiman, Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson",eng
1573,A Painted House,3.67,John Grisham,eng
1574,The Left Hand of Darkness,4.05,"Ursula K. Le Guin, Lech Jęczmyk",eng
1575,Let It Snow: Three Holiday Romances,3.84,"John Green, Maureen Johnson, Lauren Myracle",eng
1576,"Full Dark, No Stars",4.03,Stephen King,en-US
1577,Being Mortal: Medicine and What Matters in the End,4.4,Atul Gawande,eng
1578,Intensity,4.04,Dean Koontz,eng
1579,Chelsea Chelsea Bang Bang,3.81,Chelsea Handler,en-US
1580,Et dukkehjem,3.69,"Henrik Ibsen, Michael   Meyer",eng
1581,Hawaii,4.18,James A. Michener,en-GB
1582,Revolutionary Road,3.89,Richard Yates,eng
1583,Nick & Norah's Infinite Playlist,3.73,"Rachel Cohn, David Levithan",en-US
1584,Rosencrantz and Guildenstern are Dead,4.06,"Tom Stoppard, Henry Popkin",eng
1585,Forever,3.91,Maggie Stiefvater,eng
1586,The Beach,3.91,Alex Garland,eng
1587,Saving CeeCee Honeycutt,3.92,"Beth Hoffman, Jenna Lamia",eng
1588,Deadlocked,3.65,Charlaine Harris,eng
1589,Everything's Eventual: 14 Dark Tales,3.94,Stephen King,eng
1590,Beezus and Ramona,3.97,Beverly Cleary,
1591,The Farthest Shore,4.11,Ursula K. Le Guin,
1592,Airframe,3.66,Michael Crichton,eng
1593,Magician,4.17,Raymond E. Feist,en-US
1594,Bet Me,3.95,Jennifer Crusie,eng
1595,Long Walk to Freedom: The Autobiography of Nelson Mandela,4.31,Nelson Mandela,eng
1596,Gray Mountain,3.52,John Grisham,eng
1597,The Power of One,4.34,Bryce Courtenay,eng
1598,The Maltese Falcon,3.92,Dashiell Hammett,eng
1599,Night Road,4.17,Kristin Hannah,en-US
1600,Tripwire,4.07,Lee Child,eng
1601,Emotional Intelligence,3.98,Daniel Goleman,eng
1602,Changes,4.54,Jim Butcher,eng
1603,The Story of Ferdinand,4.35,"Munro Leaf, Robert Lawson",
1604,Impulse,4.29,Ellen Hopkins,en-US
1605,Ivanhoe,3.75,Walter Scott,eng
1606,Ten Big Ones,4.13,Janet Evanovich,en-US
1607,The Poet,4.19,Michael Connelly,eng
1608,Paranormalcy,3.91,Kiersten White,eng
1609,Eclipse: The Official Illustrated Movie Companion,4.44,Mark Cotta Vaz,en-US
1610,The Shoemaker's Wife,3.98,Adriana Trigiani,eng
1611,Rise of the Evening Star,4.16,Brandon Mull,
1612,The Next Always,4.11,"Nora Roberts, MacLeod Andrews",
1613,走ることについて語るときに僕の語ること [Hashiru koto ni tsuite kataru toki ni boku no kataru koto],3.79,"Haruki Murakami, Philip Gabriel",eng
1614,We'll Always Have Summer,4.17,Jenny Han,en-US
1615,Open: An Autobiography,4.18,"Andre Agassi, J.R. Moehringer",eng
1616,Alex Rider: Stormbreaker,3.97,Anthony Horowitz,eng
1617,Without Fail ,4.16,"Lee Child, Dick Hill",eng
1618,A Voice in the Wind,4.6,"Francine Rivers, Richard Ferrone",en-US
1619,,4.31,Stephenie Meyer,eng
1620,A Scanner Darkly ,4.04,Philip K. Dick,eng
1621,Drive: The Surprising Truth About What Motivates Us,3.95,Daniel H. Pink,
1622,A Connecticut Yankee in King Arthur's Court,3.76,Mark Twain,eng
1623,Batman: The Long Halloween,4.29,"Jeph Loeb, Tim Sale, Gregory Wright, Richard Starkings",eng
1624,La Nausée,3.91,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",eng
1625,,3.93,John Eldredge,eng
1626,"Fablehaven: Secrets of the Dragon Sanctuary (Fablehaven, #4)",4.35,Brandon Mull,eng
1627,Twelve Sharp,4.14,Janet Evanovich,eng
1628,Wool,4.12,Hugh Howey,eng
1629,The Tombs of Atuan,4.07,Ursula K. Le Guin,eng
1630,Turn Coat,4.45,Jim Butcher,en-US
1631,The Sign of Four,3.96,"Arthur Conan Doyle, Peter Ackroyd, Ed Glinert",eng
1632,РУКАВИЧКА: Українська народна казка,4.23,Jan Brett,eng
1633,Memnoch The Devil,3.73,Anne Rice,eng
1634,The Magician: The Secrets of The Immortal Nicholas Flamel,4.09,Michael Scott,eng
1635,"Click, Clack, Moo: Cows That Type",4.23,"Doreen Cronin, Betsy Lewin",eng
1636,Iron Kissed,4.36,Patricia Briggs,en-US
1637,Anna Dressed in Blood,3.96,Kendare Blake,en-US
1638,"Temple of the Winds (Sword of Truth, #4)",4.03,"Terry Goodkind, Dick Hill",
1639,The True Confessions of Charlotte Doyle,3.81,Avi,eng
1640,A Reliable Wife,3.25,Robert Goolrick,en-US
1641,Something Wicked This Way Comes,3.95,Ray Bradbury,eng
1642,Song of Solomon,4.01,Toni Morrison,eng
1643,Red Storm Rising,4.14,Tom Clancy,
1644,Peace Like a River,3.98,Leif Enger,en-US
1645,Rant: An Oral Biography of Buster Casey,3.82,Chuck Palahniuk,en-US
1646,Shadow of the Hegemon,3.93,Orson Scott Card,en-US
1647,تراب الماس,4.09,أحمد مراد,ara
1648,The Poky Little Puppy (a Little Golden Book),4.08,"Janette Sebring Lowrey, Gustaf Tenggren",eng
1649,Tara Road,3.88,Maeve Binchy,eng
1650,The Call of the Wild / White Fang,4.08,Jack London,eng
1651,"Ignite Me (Shatter Me, #3)",4.44,Tahereh Mafi,eng
1652,Cross My Heart and Hope to Spy,4.13,Ally Carter,en-US
1653,Blood Bound,4.31,Patricia Briggs,eng
1654,Cold Days,4.51,Jim Butcher,en-US
1655,The Friday Night Knitting Club,3.41,Kate Jacobs,eng
1656,All Things Bright and Beautiful,4.3,James Herriot,en-US
1657,Infinite Jest,4.31,David Foster Wallace,en-US
1658,Tangled,4.12,Emma Chase,eng
1659,The Day of the Triffids,4,John Wyndham,eng
1660,The Sisters Brothers,3.83,"Patrick deWitt, Marcelo Barbão",eng
1661,Secret Daughter,3.97,Shilpi Somaya Gowda,en-US
1662,Fantastic Mr Fox,4.03,"Roald Dahl, Quentin Blake",eng
1663,Brida,3.46,"Paulo Coelho, Montserrat Mira",por
1664,A Room of One's Own,4.1,Virginia Woolf,eng
1665,Warbreaker,4.22,Brandon Sanderson,eng
1666,Sonnets,4.24,"William Shakespeare, Katherine Duncan-Jones",en-US
1667,What Happened to Goodbye,3.97,Sarah Dessen,eng
1668,Six of Crows,4.46,Leigh Bardugo,eng
1669,13 Little Blue Envelopes,3.65,Maureen Johnson,eng
1670,Same Kind of Different as Me,4.21,"Ron Hall, Denver Moore, Lynn Vincent",en-US
1671,Carry On,4.19,Rainbow Rowell,eng
1672,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",4.21,Tracy Kidder,eng
1673,Beneath This Man ,4.3,Jodi Ellen Malpas,eng
1674,Prince of Thorns,3.87,Mark  Lawrence,eng
1675,The Book of Ruth,3.82,Jane Hamilton,en-US
1676,Galápagos,3.87,Kurt Vonnegut Jr.,
1677,Next,3.48,Michael Crichton,en-US
1678,,4.1,Nancy Farmer,eng
1679,Leaves of Grass,4.12,Walt Whitman,eng
1680,Blue Dahlia,4.11,Nora Roberts,eng
1681,Lady Chatterley's Lover,3.49,"D.H. Lawrence, Doris Lessing, Chester Brown",eng
1682,The Magician King,3.9,Lev Grossman,en-US
1683,Liar's Poker: Rising Through the Wreckage on Wall Street,4.16,Michael   Lewis,en-US
1684,,4.23,George S. Clason,eng
1685,Salem Falls,3.8,Jodi Picoult,en-US
1686,Belgarath the Sorcerer,4.07,"David Eddings, Leigh Eddings",en-US
1687,The Great Dune Trilogy,4.35,Frank Herbert,en-GB
1688,My Name Is Lucy Barton,3.51,"Elizabeth Strout, Goran Skrobonja",eng
1689,Garden Spells,4.06,Sarah Addison Allen,eng
1690,Ghost Story,4.25,Jim Butcher,eng
1691,Narrative of the Life of Frederick Douglass,3.97,Frederick Douglass,eng
1692,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,3.65,"Greg Behrendt, Liz Tuccillo",eng
1693,Pawn of Prophecy,4.16,David Eddings,eng
1694,Lean Mean Thirteen,4.08,Janet Evanovich,en-US
1695,The Jungle Books,4,"Rudyard Kipling, Alev Lytle Croutier",eng
1696,Glass Houses,3.92,Rachel Caine,en-US
1697,,3.93,"John Eldredge, Stasi Eldredge",en-US
1698,The Dark Tower: The Gunslinger Born,4.18,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",eng
1699,The Lake House,4.04,Kate Morton,eng
1700,A Tale for the Time Being,3.98,Ruth Ozeki,eng
1701,I Hope They Serve Beer in Hell,3.51,Tucker Max,
1702,Rule,4.16,"Jay Crownover, Charlotte Connan de vries",eng
1703," 国境の南、太陽の西 [Kokkyō no minami, taiyō no nishi]",3.87,"Haruki Murakami, Philip Gabriel",eng
1704,Mother Night,4.21,Kurt Vonnegut Jr.,en-US
1705,Influence: The Psychology of Persuasion,4.18,Robert B. Cialdini,eng
1706,The Fall of the House of Usher and Other Writings,4.14,"Edgar Allan Poe, Stephen Marlowe",
1707,Harriet the Spy,3.96,Louise Fitzhugh,eng
1708,The Paying Guests,3.39,Sarah Waters,en-US
1709,Forever Odd,3.96,Dean Koontz,en-US
1710,At Home: A Short History of Private Life,3.96,Bill Bryson,eng
1711,Sushi for Beginners,3.69,Marian Keyes,
1712,Still Life,3.91,Louise Penny,eng
1713,Watermelon,3.79,Marian Keyes,
1714,The Kitchen God's Wife,3.98,Amy Tan,en-US
1715,Låt den rätte komma in,4.07,John Ajvide Lindqvist,eng
1716,The Rise of Nine,4.2,Pittacus Lore,eng
1717,,4.35,"Edgar Allan Poe, Benjamin F. Fisher",en-US
1718,The Second Summer of the Sisterhood,3.78,Ann Brashares,en-US
1719,Phantoms,3.93,Dean Koontz,en-US
1720,,4.05,Morgan Matson,eng
1721,My Utmost for His Highest,4.39,Oswald Chambers,eng
1722,The Wee Free Men,4.25,Terry Pratchett,eng
1723,Written in My Own Heart's Blood,4.5,Diana Gabaldon,eng
1724,Nightshade,4.03,Andrea Cremer,eng
1725,,3.99,"Lewis Carroll, John Tenniel",eng
1726,Drachenreiter,3.94,Cornelia Funke,eng
1727,The Long Dark Tea-Time of the Soul,4.05,Douglas Adams,en-US
1728,Uprooted,4.13,Naomi Novik,eng
1729,Seveneves,3.98,Neal Stephenson,eng
1730,Armada,3.49,Ernest Cline,en-GB
1731,The Desert Spear,4.24,Peter V. Brett,eng
1732,The Man in the Brown Suit,3.97,Agatha Christie,eng
1733,The Summons,3.68,John Grisham,eng
1734,Endurance: Shackleton's incredible voyage,4.36,Alfred Lansing,eng
1735,"Size 12 Is Not Fat (Heather Wells, #1)",3.75,Meg Cabot,en-US
1736,Dark Matter,4.11,Blake Crouch,eng
1737,Glass Sword,3.95,Victoria Aveyard,eng
1738,When You Reach Me,4.08,Rebecca Stead,en-US
1739,The Bonfire of the Vanities,3.81,Tom Wolfe,eng
1740,In the Unlikely Event,3.51,Judy Blume,eng
1741,Death on the Nile,4.06,Agatha Christie,eng
1742,Shiloh,3.91,Phyllis Reynolds Naylor,eng
